Product Link,Product Name,Offered Price,Original Price
https://www.flipkart.com/infinix-smart-5-aegean-blue-32-gb/p/itm8d968c7fe7d88?pid=MOBFZX3HUEEMQUPZ&lid=LSTMOBFZX3HUEEMQUPZT01YKM&marketplace=FLIPKART&store=tyy%2F4io&srno=b_2_32&otracker=browse&fm=organic&iid=7b5a1da8-6d48-4271-b24f-5553eab8b190.MOBFZX3HUEEMQUPZ.SEARCH&ppt=None&ppn=None&ssid=n696y2k62o0000001619595827492,"Infinix Smart 5 (Aegean Blue, 32 GB)","₹7,199","₹8,999"
https://www.flipkart.com/infinix-smart-5-morandi-green-32-gb/p/itm8d968c7fe7d88?pid=MOBFZX3H2ARU2GHY&lid=LSTMOBFZX3H2ARU2GHY5J5UTT&marketplace=FLIPKART&store=tyy%2F4io&srno=b_2_33&otracker=browse&fm=organic&iid=7b5a1da8-6d48-4271-b24f-5553eab8b190.MOBFZX3H2ARU2GHY.SEARCH&ppt=None&ppn=None&ssid=n696y2k62o0000001619595827492,"Infinix Smart 5 (Morandi Green, 32 GB)","₹7,199","₹8,999"
https://www.flipkart.com/lava-gem/p/itmf954hfm33thxf?pid=MOBF94EQFANKSARH&lid=LSTMOBF94EQFANKSARH9TXQSB&marketplace=FLIPKART&store=tyy%2F4io&srno=b_2_34&otracker=browse&fm=organic&iid=en_6HogH6qXp6RdI6GxwV1R1x6Isyk2%2FGcfG%2BM7EToXBJRLdiSz4PJx%2F9%2B3miil2K1rruyKiAVPtuLqpLAuVyfUWQ%3D%3D&ppt=None&ppn=None&ssid=n696y2k62o0000001619595827492,LAVA GEM,"₹1,539",Not Available
https://www.flipkart.com/infinix-smart-5-7-purple-32-gb/p/itm8d968c7fe7d88?pid=MOBFZX3HAVZ3KQFW&lid=LSTMOBFZX3HAVZ3KQFWG0XKOM&marketplace=FLIPKART&store=tyy%2F4io&srno=b_2_35&otracker=browse&fm=organic&iid=7b5a1da8-6d48-4271-b24f-5553eab8b190.MOBFZX3HAVZ3KQFW.SEARCH&ppt=None&ppn=None&ssid=n696y2k62o0000001619595827492,"Infinix Smart 5 (7° Purple, 32 GB)","₹7,199","₹8,999"
https://www.flipkart.com/poco-x3-pro-graphite-black-128-gb/p/itm736059fa07afb?pid=MOBGFKNFRJDN3DS4&lid=LSTMOBGFKNFRJDN3DS4PPS28U&marketplace=FLIPKART&store=tyy%2F4io&srno=b_2_36&otracker=browse&fm=organic&iid=7b5a1da8-6d48-4271-b24f-5553eab8b190.MOBGFKNFRJDN3DS4.SEARCH&ppt=None&ppn=None&ssid=n696y2k62o0000001619595827492,"POCO X3 Pro (Graphite Black, 128 GB)","₹18,999","₹23,999"
https://www.flipkart.com/redmi-9-prime-space-blue-64-gb/p/itmddf6787a707d2?pid=MOBFUT9M84NDDYQN&lid=LSTMOBFUT9M84NDDYQN9NHPW2&marketplace=FLIPKART&store=tyy%2F4io&srno=b_2_37&otracker=browse&fm=organic&iid=7b5a1da8-6d48-4271-b24f-5553eab8b190.MOBFUT9M84NDDYQN.SEARCH&ppt=None&ppn=None&ssid=n696y2k62o0000001619595827492,"Redmi 9 Prime (Space Blue, 64 GB)","₹9,999","₹11,999"
https://www.flipkart.com/poco-c3-lime-green-32-gb/p/itmdbc41b273ff7c?pid=MOBFVQJ5RMHGCWHF&lid=LSTMOBFVQJ5RMHGCWHFQV9OOD&marketplace=FLIPKART&store=tyy%2F4io&srno=b_2_38&otracker=browse&fm=organic&iid=7b5a1da8-6d48-4271-b24f-5553eab8b190.MOBFVQJ5RMHGCWHF.SEARCH&ppt=None&ppn=None&ssid=n696y2k62o0000001619595827492,"POCO C3 (Lime Green, 32 GB)","₹7,499","₹9,999"
https://www.flipkart.com/poco-c3-matte-black-32-gb/p/itm1ee2f6513ac1c?pid=MOBFVQJ5YCRFFXPB&lid=LSTMOBFVQJ5YCRFFXPBPG5BWJ&marketplace=FLIPKART&store=tyy%2F4io&srno=b_2_39&otracker=browse&fm=organic&iid=7b5a1da8-6d48-4271-b24f-5553eab8b190.MOBFVQJ5YCRFFXPB.SEARCH&ppt=None&ppn=None&ssid=n696y2k62o0000001619595827492,"POCO C3 (Matte Black, 32 GB)","₹7,499","₹9,999"
https://www.flipkart.com/forme-a1/p/itmddba1b6c959a5?pid=MOBGY9W5YENXGNGZ&lid=LSTMOBGY9W5YENXGNGZJ78KLK&marketplace=FLIPKART&store=tyy%2F4io&srno=b_2_40&otracker=browse&fm=organic&iid=en_6HogH6qXp6RdI6GxwV1R1x6Isyk2%2FGcfG%2BM7EToXBJSrOREjIlRU5GvSkcNnG2Bu%2FH1xUiX7Fo3XnO5ZpCqCJw%3D%3D&ppt=None&ppn=None&ssid=n696y2k62o0000001619595827492,Forme A1,"₹1,025","₹1,149"
https://www.flipkart.com/poco-m3-yellow-128-gb/p/itm8d6c2240709b5?pid=MOBFZTCUWXHKSFHK&lid=LSTMOBFZTCUWXHKSFHKGSGSB7&marketplace=FLIPKART&store=tyy%2F4io&srno=b_2_41&otracker=browse&fm=organic&iid=7b5a1da8-6d48-4271-b24f-5553eab8b190.MOBFZTCUWXHKSFHK.SEARCH&ppt=None&ppn=None&ssid=n696y2k62o0000001619595827492,"POCO M3 (Yellow, 128 GB)","₹11,999","₹14,999"
